Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
1,1,2010-02-05,24924.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106
1,1,2010-02-12,46039.49,True,A,151315,38.51,2.548,,,,,,211.2421698,8.106
1,1,2010-02-19,41595.55,False,A,151315,39.93,2.514,,,,,,211.2891429,8.106
1,1,2010-02-26,19403.54,False,A,151315,46.63,2.561,,,,,,211.3196429,8.106
1,1,2010-03-05,21827.9,False,A,151315,46.5,2.625,,,,,,211.3501429,8.106
1,1,2010-03-12,21043.39,False,A,151315,57.79,2.667,,,,,,211.3806429,8.106
1,1,2010-03-19,22136.64,False,A,151315,54.58,2.72,,,,,,211.215635,8.106
1,1,2010-03-26,26229.21,False,A,151315,51.45,2.732,,,,,,211.0180424,8.106
1,1,2010-04-02,57258.43,False,A,151315,62.27,2.719,,,,,,210.8204499,7.808
1,1,2010-04-09,42960.91,False,A,151315,65.86,2.77,,,,,,210.6228574,7.808
1,1,2010-04-16,17596.96,False,A,151315,66.32,2.808,,,,,,210.4887,7.808
1,1,2010-04-23,16145.35,False,A,151315,64.84,2.795,,,,,,210.4391228,7.808
1,1,2010-04-30,16555.11,False,A,151315,67.41,2.78,,,,,,210.3895456,7.808
1,1,2010-05-07,17413.94,False,A,151315,72.55,2.835,,,,,,210.3399684,7.808
1,1,2010-05-14,18926.74,False,A,151315,74.78,2.854,,,,,,210.3374261,7.808
1,1,2010-05-21,14773.04,False,A,151315,76.44,2.826,,,,,,210.6170934,7.808
1,1,2010-05-28,15580.43,False,A,151315,80.44,2.759,,,,,,210.8967606,7.808
1,1,2010-06-04,17558.09,False,A,151315,80.69,2.705,,,,,,211.1764278,7.808
1,1,2010-06-11,16637.62,False,A,151315,80.43,2.668,,,,,,211.4560951,7.808
1,1,2010-06-18,16216.27,False,A,151315,84.11,2.637,,,,,,211.4537719,7.808
1,1,2010-06-25,16328.72,False,A,151315,84.34,2.653,,,,,,211.3386526,7.808
1,1,2010-07-02,16333.14,False,A,151315,80.91,2.669,,,,,,211.2235333,7.787
1,1,2010-07-09,17688.76,False,A,151315,80.48,2.642,,,,,,211.108414,7.787
1,1,2010-07-16,17150.84,False,A,151315,83.15,2.623,,,,,,211.1003854,7.787
1,1,2010-07-23,15360.45,False,A,151315,83.36,2.608,,,,,,211.2351443,7.787
1,1,2010-07-30,15381.82,False,A,151315,81.84,2.64,,,,,,211.3699032,7.787
1,1,2010-08-06,17508.41,False,A,151315,87.16,2.627,,,,,,211.5046621,7.787
